id,_type,inScheme,code,prefLabel,topConceptOf,seeAlso,relevantDataType,isPartOf,relevantCodeList,relevantRiepr,isVersionOf,modified,relevantUnit,definition,note,narrower,narrowerTransitive,semanticRelation,isMeetbaar,broader,broaderTransitive,isVerplicht,isMeervoudig,isOnzichtbaar,hasPart,related,conditionValue,conditionPath,_ui_after,_ui_first,relevantClass,isMultiselect,hasTopConcept
http://qudt.org/vocab/unit/DEG_C,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,°C,Celsius,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/K,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,K,Kelvin,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/M,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,m,Meter,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/M3,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,m³,Kubieke meter,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/MegaW,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,MW,Mega Watt,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/MicroGM-PER-L,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,µg/l,Microgram per liter,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/MilliGM-PER-L,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,mg/l,Milligram per liter,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/NanoGM-PER-L,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,ng/l,Nanogram per liter,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/PERCENT,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,%,Percent,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://qudt.org/vocab/unit/PPB,http://qudt.org/schema/qudt/Unit|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,PPB,ppb,https://data.omgeving.vlaanderen.be/id/conceptscheme/riepr/eenheden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
