_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantriepr,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie,technischefiche,referentiewaardeType
conceptscheme:rubriek_type,skos:ConceptScheme,,,Rubriek types,,,Een typering van verschillende rubrieken (VLAREM rubriektype EGW ...).,,,,,,,,,,,,,,,,,,,,,
conceptscheme:procesvariabele_type,skos:ConceptScheme,,,Proces variabele types,,,Een lijst die verschillende types geeft voor stoffen die aangeduid mogen worden bij bepaalde procedure types.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:procedure_type,skos:ConceptScheme,,,Procedure types,,,Een lijst van verschillende hoofdtyperingen van procedures in een procesplan.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:onttrekkingspunt_type,skos:ConceptScheme,,,Onttrekkingspunt types,,,Een lijst van verschillende soorten onttrekkingspunten met mogelijke opsplitsing in subtyperingen.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:meetpunt_type,skos:ConceptScheme,,,Meetpunt types,,,Een lijst van verschillende soorten meetpunten.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:meetinstrument_type,skos:ConceptScheme,,,Meetinstrument types,,,Een lijst van verschillende soorten meetinstrumenten.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:installatie_type,skos:ConceptScheme,,,Installatie types,,,Een lijst van verschillende types van installaties met eventueel subtyperingen.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:installatie_eigenschappen_type,skos:ConceptScheme,,,Installatie eigenschappen types,,,Een lijst die verschillende types geeft voor installatie eigenschappen.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:filter_type,skos:ConceptScheme,,,Filter types,,,Een lijst van verschillende types van filters en de objecten waarop van toepassing.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:filter_attributen,skos:ConceptScheme,,,Filter attributen,,,Een koppeling tussen attributen van een filter en de attributen die van toepassing zijn met een referentie naar een CSO codelijst voor de eenheid.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:datatypes,skos:ConceptScheme,,,Externe identificatoren,,,Een lijst van verschillende externe identificatoren die al dan niet uniek zijn.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:emissiepunt_type,skos:ConceptScheme,,,Emissiepunt types,,,Een lijst van verschillende soorten emissiepunten met mogelijke opsplitsing in subtyperingen.,,,,,,,,,,,,,,,,,,,,,
conceptscheme:emissiepunt_attributen,skos:ConceptScheme,,,Emissiepunt attributen,,,Een lijst die een koppeling maakt tussen soorten emissiepunten en de attributen die van toepassing zijn.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlarem-klasse:k1,skos:Concept,conceptscheme-alg:vlarem-klasse,conceptscheme-alg:vlarem-klasse,Klasse 1,VLAREM klasse 1,,Indelingsklasse voor inrichtingen met de grootste milieu-impact. Voor deze activiteiten geldt een omgevingsvergunning klasse 1 (zwaarste procedure).,,,,,,,,,,,,,,,,,,,,
vlarem-klasse:k2,skos:Concept,conceptscheme-alg:vlarem-klasse,conceptscheme-alg:vlarem-klasse,Klasse 2,VLAREM klasse 2,,Indelingsklasse voor inrichtingen met een middelgrote milieu-impact. Voor deze activiteiten geldt een omgevingsvergunning klasse 2.,,,,,,,,,,,,,,,,,,,,
vlarem-klasse:k3,skos:Concept,conceptscheme-alg:vlarem-klasse,conceptscheme-alg:vlarem-klasse,Klasse 3,VLAREM klasse 3,,Indelingsklasse voor inrichtingen met een beperkte milieu-impact. Voor deze activiteiten geldt een meldingsplicht (klasse 3).,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/M3,qudt:Unit,,,,Kubieke meter,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/M3-PER-HR,qudt:Unit,,,,Kubieke meter per uur,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/MilliS-PER-CentiM,qudt:Unit,,,,Millisiemens per centimeter,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/PA,qudt:Unit,,,,Pascal,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/PH,qudt:Unit,,,,Ph,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/NUM,qudt:Unit,,,,Getal,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/KiloW-HR,qudt:Unit,,,,Kilowattuur,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/M,qudt:Unit,,,,Meter,,,,,,,,,,,,,,,,,,,,,,
http://qudt.org/vocab/unit/TON-PER-YR,qudt:Unit,,,,Ton per jaar,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-rubriek-type:vlarem,skos:Concept,conceptscheme:rubriek_type,conceptscheme:rubriek_type,VLAREM,,VLAREM,VLAREM rubriektype.,,,,,,,,,,,,,,,,,,,,,
riepr-rubriek-type:egw,skos:Concept,conceptscheme:rubriek_type,conceptscheme:rubriek_type,EGW,,EGW,EGW rubriektype.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-procedure-type:verwerking,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Verwerking,,VERWERKING,,,,,,,,,,,,,,,,,,,,,
riepr-procedure-type:meet,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Meet,,MEET,,,,,,,,,,,,,,,,,,,,,
riepr-procedure-type:overbrenging,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Overbrenging,,OVERBRENGING,,,,,,,,,,,,,,,,,,,,,
riepr-procedure-type:emissie,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Emissie,,EMISSIE,,,,,,,,,,,,,,,,,,,,,
riepr-procedure-type:verbruik,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Verbruik,,VERBRUIK,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-procesvariabele-type:aardgas,skos:Concept,conceptscheme:procesvariabele_type,conceptscheme:procesvariabele_type,Aardgas,,aardgas,,,,http://www.w3.org/2001/XMLSchema#decimal,,,,,http://qudt.org/vocab/unit/TON-PER-YR,,,riepr-procedure-type:verbruik,,,,,,,,,
riepr-procesvariabele-type:co2,skos:Concept,conceptscheme:procesvariabele_type,conceptscheme:procesvariabele_type,CO2,,co2,,,,,,https://data.omgeving.vlaanderen.be/id/concept/stof/co2,,,,,,riepr-procedure-type:emissie,,,,,,,,,
riepr-procesvariabele-type:grondstof,skos:Concept,conceptscheme:procesvariabele_type,conceptscheme:procesvariabele_type,Grondstof,,grondstof,Grondstof met vrije invoer subtypering.,,,,,,,,,,,riepr-procedure-type:verwerking,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-onttrekkingspunt-type:grondwaterput,skos:Concept,conceptscheme:onttrekkingspunt_type,conceptscheme:onttrekkingspunt_type,Grondwaterput,,grondwaterput,Een put voor de onttrekking van grondwater.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-meetpunt-type:meetput,skos:Concept,conceptscheme:meetpunt_type,conceptscheme:meetpunt_type,Meetput,,meetput,,,,,,,,,,,,,,,,,,,,,
riepr-meetpunt-type:controle-inrichting,skos:Concept,conceptscheme:meetpunt_type,conceptscheme:meetpunt_type,Controle inrichting,,controle_inrichting,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-meetinstrument-type:debietmeter,skos:Concept,conceptscheme:meetinstrument_type,conceptscheme:meetinstrument_type,Debietmeter,,debietmeter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-installatie-type:gpbv,skos:Concept,conceptscheme:installatie_type,conceptscheme:installatie_type,GPBV installatie,,GPBV,Installatie die valt onder de richtlijn industriële emissies (IED/GPBV).,,,,,,,,,,,,,,,,,,,,,
