_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantriepr,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie,technischefiche,referentiewaardeType
,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem eigenschap,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:medium,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem medium,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemtype,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemstatus,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem status,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:stalbezetting,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem stalbezetting,, ,,,,,,,,,,,,,,,,,,,,,
conceptscheme:norm-bandbreedte,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem normbandbreedte,Ranges,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter-norm,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem parameter specificatie,,,"Het schema van indelingsklassen (1, 2, 3) zoals vastgelegd in de Vlaamse milieuregelgeving (VLAREM).",,,,,,,,,,,,,,,,,,,,
conceptscheme-alg:vlarem-klasse,skos:ConceptScheme,,,VLAREM indelingsklassen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemopstelling,skos:ConceptScheme,,,conceptschema  luchtzuiveringssysteem opstelingen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:dataleverancierstatus,skos:ConceptScheme,,,conceptschema dataleverancier status,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-bandbreedte:_1,skos:Concept,conceptscheme:norm-bandbreedte,conceptscheme:norm-bandbreedte,Zuurtegraad waswater < 6 (S1 systeem),,,De zuurtegraad van het waswater is kleiner dan 6,< 6,,,,riepr-type:s1,riepr-param:zuurtegraadwaswater,,,,,,,Onder minimum grenswaarde,,,,6,,,
riepr-bandbreedte:_2,skos:Concept,conceptscheme:norm-bandbreedte,conceptscheme:norm-bandbreedte,"Zuurtegraad waswater > 8,5 (S1 systeem)",,,"De zuurtegraad van het waswater is groter dan 8,5","> 8,5",,,,riepr-type:s1,riepr-param:zuurtegraadwaswater,,,,,,,Boven maximum grenswaarde,,,8.5,,,,
riepr-bandbreedte:_3,skos:Concept,conceptscheme:norm-bandbreedte,conceptscheme:norm-bandbreedte,Geleidbaarheid waswater > maximale waarde (S1 systeem),,,De geleidbaarheid is groter dan de maximale operationele waarde die op de technische fiche vermeld staat.,> waarde technische fiche,,,,riepr-type:s1,riepr-param:geleidbaarheidvanhetwaswater,,,,,,,Boven maximum grenswaarde,,,0,,som,,
riepr-bandbreedte:_4,skos:Concept,conceptscheme:norm-bandbreedte,conceptscheme:norm-bandbreedte,Waswaterdebiet afwijking naar beneden > 20% (S1 systeem),,,Het waswaterdebiet wijkt meer dan 20% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.,"< 0,8 x waarde technische fiche (afwijking > 20%)",,,,riepr-type:s1,riepr-param:waswaterdebiet,,,,,,,Onder minimum grenswaarde,,,,0.8,product,,
