_id,_type,topConceptOf,prefLabel,notation
conceptscheme:eenheden,skos:ConceptScheme,,,
http://qudt.org/vocab/unit/M,qudt:Unit,conceptscheme:eenheden,Meter,m
http://qudt.org/vocab/unit/MegaW,qudt:Unit,conceptscheme:eenheden,Mega Watt,MW
http://qudt.org/vocab/unit/PPB,qudt:Unit,conceptscheme:eenheden,ppb,PPB
http://qudt.org/vocab/unit/PPM,qudt:Unit,conceptscheme:eenheden,PPM,PPM
http://qudt.org/vocab/unit/NanoGM-PER-L,qudt:Unit,conceptscheme:eenheden,Nanogram per liter,ng/l
http://qudt.org/vocab/unit/MilliGM-PER-L,qudt:Unit,conceptscheme:eenheden,Milligram per liter,mg/l
http://qudt.org/vocab/unit/MicroGM-PER-L,qudt:Unit,conceptscheme:eenheden,Microgram per liter,µg/l
http://qudt.org/vocab/unit/PERCENT,qudt:Unit,conceptscheme:eenheden,Percent,%
http://qudt.org/vocab/unit/DEG_C,qudt:Unit,conceptscheme:eenheden,Celsius,°C
http://qudt.org/vocab/unit/K,qudt:Unit,conceptscheme:eenheden,Kelvin,K
http://qudt.org/vocab/unit/M3,qudt:Unit,conceptscheme:eenheden,Kubieke meter,m³
