_id,_type,topConceptOf,prefLabel,definition,broader,relevantClass,relevantDataType,relation,seeAlso,relevantRiepr,conditionPath,conditionValue,relevantCodeList,relevantUnit,isVerplicht,isMeervoudig,isOnzichtbaar
conceptscheme:operationeel_contextueel,skos:ConceptScheme,,Operationeel contextueel,,,,,,,,,,,,,,
riepr-operationeel-contextueel:feature,skos:Concept,conceptscheme:operationeel_contextueel,IEPR installatie,Selecteer een IEPR installatie waarop je wil rapporteren.,,sosa:FeatureOfInterest,,sosa:hasFeatureOfInterest,conceptscheme:operationeel_contextueel_iepr,riepr-installatie-type:gpbv,,,,,,true,
,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_contextueel_iepr,skos:ConceptScheme,,,,,,,,,,,,,,,,
riepr-operationeel-contextueel:activiteit,skos:Concept,conceptscheme:operationeel_contextueel_iepr,Activiteit,Selecteer de activiteit van de IEPR-installatie waarop je wil rapporteren,,sosa:FeatureOfInterest,,sosa:hasFeatureOfInterest,conceptscheme:operationeel_contextueel_iepr_activiteit,riepr:Rubriek,,,,,,,
riepr-operationeel-contextueel:grondstoffenverbruik,skos:Concept,conceptscheme:operationeel_contextueel_iepr,Grondstoffenverbruik,,,,,,,,,,,,,,
riepr-operationeel-contextueel:energieverbruik,skos:Concept,conceptscheme:operationeel_contextueel_iepr,Energieverbruik,,,,,,,,,,,,,,
riepr-operationeel-contextueel:waterverbruik,skos:Concept,conceptscheme:operationeel_contextueel_iepr,Waterverbruik,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_contextueel_iepr_activiteit,skos:ConceptScheme,,,,,,,,,,,,,,,,
riepr-operationeel-contextueel:productievolume,skos:Concept,conceptscheme:operationeel_contextueel_iepr_activiteit,Productievolume,Totale productie (geheel getal),,,xsd:integer,sosa:hasResult,,,,,,,,,
