_id,_type,topConceptOf,prefLabel,definition,isPartOf,relevantClass,relevantDataType,relation,seeAlso,relevantRiepr,conditionPath,conditionValue,relevantCodeList,relevantUnit,isVerplicht,isMeervoudig,isOnzichtbaar
conceptscheme:operationeel_grondstoffen,skos:ConceptScheme,,Operationeel grondstoffen,,,,,,,,,,,,,,
riepr-operationeel-grondstoffen:geproduceerd,skos:Concept,conceptscheme:operationeel_grondstoffen,Heeft u grondstoffen geproduceerd?,,,,xsd:boolean,,,,,,,,,,
riepr-operationeel-grondstoffen:grondstof,skos:Concept,conceptscheme:operationeel_grondstoffen,Grondstof,,,sosa:Observation,,,,,riepr-operationeel-grondstoffen:geproduceerd,true,,,,true,
riepr-operationeel-grondstoffen:grondstof_materiaalcode,skos:Concept,conceptscheme:operationeel_grondstoffen,Materiaalcode,,riepr-operationeel-grondstoffen:grondstof,,,schema:material,,,,,http://TODO,,,,
riepr-operationeel-grondstoffen:grondstof_omschrijving,skos:Concept,conceptscheme:operationeel_grondstoffen,Omschrijving,,riepr-operationeel-grondstoffen:grondstof,,xsd:string,rdfs:comment,,,,,,,false,,
riepr-operationeel-grondstoffen:grondstof_hoeveelheid,skos:Concept,conceptscheme:operationeel_grondstoffen,Hoeveelheid,,riepr-operationeel-grondstoffen:grondstof,,xsd:decimal,sosa:hasResult,,,,,,http://TODO,true,,
riepr-operationeel-grondstoffen:grondstof_toepassingswijze,skos:Concept,conceptscheme:operationeel_grondstoffen,Toepassingswijze,,riepr-operationeel-grondstoffen:grondstof,,,sosa:usedProcedure,,,,conceptscheme:operationeel_toepassingwijze,,true,,,
riepr-operationeel-grondstoffen:grondstof_bestemming_type,skos:Concept,conceptscheme:operationeel_grondstoffen,Bestemming type,,riepr-operationeel-grondstoffen:grondstof,,,dcterms:type,,,,,conceptscheme:operationeel_bestemmingstype,,true,,
riepr-operationeel-grondstoffen:grondstof_opmerking,skos:Concept,conceptscheme:operationeel_grondstoffen,Opmerking,,riepr-operationeel-grondstoffen:grondstof,,xsd:string,schema:comment,,,,,,,false,,
,,,,,,,,,,,,,,,,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-be,skos:Concept,conceptscheme:operationeel_grondstoffen,Bestemmingsidentificatie,,riepr-operationeel-grondstoffen:grondstof,,,,,,riepr-operationeel-grondstoffen:grondstof_bestemming_type,riepr-operationeel-bestemmingstype:belgisch,,,,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-be-naam,skos:Concept,conceptscheme:operationeel_grondstoffen,Naam,,riepr-operationeel-grondstoffen:bestemmingsidentificatie-be,,xsd:string,rdfs:label,,,,,,,false,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-be-on,skos:Concept,conceptscheme:operationeel_grondstoffen,Ondernemingsnummer,,riepr-operationeel-grondstoffen:bestemmingsidentificatie-be,,xsd:string,,,,,,,,true,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-be-ve,skos:Concept,conceptscheme:operationeel_grondstoffen,Vestigingsnummer,,riepr-operationeel-grondstoffen:bestemmingsidentificatie-be,,xsd:string,,,,,,,,true,,
,,,,,,,,,,,,,,,,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-buitenland,skos:Concept,conceptscheme:operationeel_grondstoffen,Bestemmingsidentificatie,,riepr-operationeel-grondstoffen:grondstof,,,,,,riepr-operationeel-grondstoffen:grondstof_bestemming_type,riepr-operationeel-bestemmingstype:buitenlands,,,,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-buitenland-naam,skos:Concept,conceptscheme:operationeel_grondstoffen,Naam,,riepr-operationeel-grondstoffen:bestemmingsidentificatie-buitenland,,xsd:string,rdfs:label,,,,,,,false,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-buitenland-btw,skos:Concept,conceptscheme:operationeel_grondstoffen,BTW-nummer,,riepr-operationeel-grondstoffen:bestemmingsidentificatie-buitenland,,xsd:string,,,,,,,,true,,
,,,,,,,,,,,,,,,,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-werf,skos:Concept,conceptscheme:operationeel_grondstoffen,Bestemmingsidentificatie,,riepr-operationeel-grondstoffen:grondstof,,,,,,riepr-operationeel-grondstoffen:grondstof_bestemming_type,riepr-operationeel-bestemmingstype:werf,,,,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-werf-naam,skos:Concept,conceptscheme:operationeel_grondstoffen,Naam,,riepr-operationeel-grondstoffen:bestemmingsidentificatie-werf,,xsd:string,rdfs:label,,,,,,,false,,
,,,,,,,,,,,,,,,,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-none,skos:Concept,conceptscheme:operationeel_grondstoffen,Bestemmingsidentificatie,,riepr-operationeel-grondstoffen:grondstof,,,,,,riepr-operationeel-grondstoffen:grondstof_bestemming_type,riepr-operationeel-bestemmingstype:geen_onderneming,,,,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-none-naam,skos:Concept,conceptscheme:operationeel_grondstoffen,Naam,,riepr-operationeel-grondstoffen:bestemmingsidentificatie-none,,xsd:string,rdfs:label,,,,,,,true,,
riepr-operationeel-grondstoffen:bestemmingsidentificatie-none-adres,skos:Concept,conceptscheme:operationeel_grondstoffen,Adres,,riepr-operationeel-grondstoffen:bestemmingsidentificatie-none,,xsd:string,rdfs:label,,,,,,,true,,
