_id,_type,topConceptOf,prefLabel,definition,broader,relevantClass,relevantDataType,relation,seeAlso,relevantRiepr,conditionPath,conditionValue,relevantCodeList,relevantUnit,isVerplicht,isMeervoudig,isOnzichtbaar
conceptscheme:operationeel_grondwater,skos:ConceptScheme,,,,,,,,,,,,,,,,
riepr-operationeel-grondwater:onttrekking,skos:Concept,conceptscheme:operationeel_grondwater,Onttrekking/infiltratie,Een meting van de onttrekking van een pompput.,,,,,,,,,,,,true,
riepr-operationeel-grondwater:peilmeting,skos:Concept,conceptscheme:operationeel_grondwater,Peilmeting,Een peilmeting van een pomp- of peilput.,,,,,,,,,,,,true,
riepr-operationeel-grondwater:kwaliteitsmeting,skos:Concept,conceptscheme:operationeel_grondwater,Kwaliteitsmeting,Een kwaliteitsmeting van een pomp- of peilput.,,,,,,,,,,,,true,
,,,,,,,,,,,,,,,,,
riepr-operationeel-grondwater:onttrekking_feature,skos:Concept,conceptscheme:operationeel_grondwater,Debietmeter,Actieve debietmeters in het productiejaar.,riepr-operationeel-grondwater:onttrekking,,,,,riepr-meetpunt-type:debietmeter,,,,,,,
riepr-operationeel-grondwater:periode,skos:Concept,conceptscheme:operationeel_grondwater,Periode van onttrekking,,riepr-operationeel-grondwater:onttrekking,,dcterms:temporal,,,,,,,,,,
riepr-operationeel-grondwater:type-debiet,skos:Concept,conceptscheme:operationeel_grondwater,Type debiet,,riepr-operationeel-grondwater:onttrekking,,,,,,,,conceptscheme:operationeel_debiet_type,,,,
riepr-operationeel-grondwater:volume,skos:Concept,conceptscheme:operationeel_grondwater,Volume,,riepr-operationeel-grondwater:onttrekking,,xsd:decimal,,,,,,,,,,
,,,,,,,,,,,,,,,,,
riepr-operationeel-grondwater:peilmeting_feature,skos:Concept,conceptscheme:operationeel_grondwater,Peilfilter/Pompfilter,Actieve peil- en pompfilters in het productiejaar.,riepr-operationeel-grondwater:peilmeting,,,,,"riepr-filter-type:peil,riepr-filter-type:pomp",,,,,,,
riepr-operationeel-grondwater:datum,skos:Concept,conceptscheme:operationeel_grondwater,Datum,,riepr-operationeel-grondwater:peilmeting,,xsd:dateTime,,,,,,,,,,
riepr-operationeel-grondwater:referentiepunt,skos:Concept,conceptscheme:operationeel_grondwater,Referentiepunt,,riepr-operationeel-grondwater:peilmeting,,,,,riepr-meetpunt-eigenschappen:referentiepunt,,,,,true,true,
riepr-operationeel-grondwater:diepte,skos:Concept,conceptscheme:operationeel_grondwater,Diepte/hoogte (TAW) t.o.v. referentiepunt,,riepr-operationeel-grondwater:peilmeting,,xsd:decimal,,,,,,,unit:M,,,
riepr-operationeel-grondwater:peilmethode,skos:Concept,conceptscheme:operationeel_grondwater,Peilmethode,,riepr-operationeel-grondwater:peilmeting,,,,,,,,conceptscheme:operationeel_peilmethode,,,,
riepr-operationeel-grondwater:pomptoestand,skos:Concept,conceptscheme:operationeel_grondwater,Pomptoestand,,riepr-operationeel-grondwater:peilmeting,,,,,,,,conceptscheme:operationeel_pomptoestand,,,,
riepr-operationeel-grondwater:duur-stil,skos:Concept,conceptscheme:operationeel_grondwater,Duur pompen stil,,riepr-operationeel-grondwater:peilmeting,,xsd:duration,,,,riepr-operationeel-grondwater:pomptoestand,riepr-operationeel-pomptoestand:rust,,,,,
riepr-operationeel-grondwater:volume-rust,skos:Concept,conceptscheme:operationeel_grondwater,Volume (8u voor stilstand),,riepr-operationeel-grondwater:peilmeting,,xsd:decimal,,,,riepr-operationeel-grondwater:pomptoestand,riepr-operationeel-pomptoestand:rust,,unit:M3,,,
riepr-operationeel-grondwater:volume-werking,skos:Concept,conceptscheme:operationeel_grondwater,Volume (1 uur voor meting),,riepr-operationeel-grondwater:peilmeting,,xsd:decimal,,,,riepr-operationeel-grondwater:pomptoestand,riepr-operationeel-pomptoestand:werking,,unit:M3,,,
,,,,,,,,,,,,,,,,,
riepr-operationeel-grondwater:kwaliteitsmeting_feature,skos:Concept,conceptscheme:operationeel_grondwater,Peilfilter/Pompfilter,Actieve peil- en pompfilters in het productiejaar.,riepr-operationeel-grondwater:kwaliteitsmeting,,,,,"riepr-filter-type:peil,riepr-filter-type:pomp",,,,,,,
