_id,_type,topConceptOf,prefLabel,definition,isPartOf,relevantClass,relevantDataType,relation,seeAlso,relevantRiepr,conditionPath,conditionValue,relevantCodeList,relevantUnit,isVerplicht,isMeervoudig,isOnzichtbaar,isMultiselect,_ui_after,_ui_first
conceptscheme:operationeel_lucht,skos:ConceptScheme,,Operationele gegevens,,,,,,,,,,,,,,,,,
riepr-operationeel-lucht:feature_ep,skos:Concept,conceptscheme:operationeel_lucht,Emissiepunt,Selecteer het emissiepunt waarop je wil rapporteren.,,sosa:FeatureOfInterest,,sosa:hasFeatureOfInterest,conceptscheme:operationeel_lucht_bron,riepr-emissiepunt-type:schoorsteen,,,,,,,,,,true
,,,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_lucht_bron,skos:ConceptScheme,,,,,,,,,,,,,,,,,,,
riepr-operationeel-lucht:feature_bron,skos:Concept,conceptscheme:operationeel_lucht_bron,Bron(nen),Selecteer de bron(nen) waarop je wil rapporteren.,,sosa:FeatureOfInterest,,sosa:hasFeatureOfInterest,conceptscheme:operationeel_lucht_rapportering,riepr:Installatie,,,,,,,,true,,true
,,,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_lucht_rapportering,skos:ConceptScheme,,,,,,,,,,,,,,,,,,,
riepr-operationeel-lucht:brandstof,skos:Concept,conceptscheme:operationeel_lucht_rapportering,Verbruikte brandstof,Geef de verbruikte brondstoffen op.,,sosa:Observation,,,,,,,,,,true,,,,true
riepr-operationeel-lucht:brandstof_naam,skos:Concept,conceptscheme:operationeel_lucht_rapportering,Naam,Naam van de brandstof.,riepr-operationeel-lucht:brandstof,,xsd:string,rdfs:label,,,,,,,true,,,,,true
riepr-operationeel-lucht:brandstof_s,skos:Concept,conceptscheme:operationeel_lucht_rapportering,S-gehalte,,riepr-operationeel-lucht:brandstof,,xsd:decimal,sosa:hasResult,,,,,,,true,,,,riepr-operationeel-lucht:brandstof_naam,
riepr-operationeel-lucht:brandstof_as,skos:Concept,conceptscheme:operationeel_lucht_rapportering,AS-gehalte,,riepr-operationeel-lucht:brandstof,,xsd:decimal,sosa:hasResult,,,,,,,true,,,,riepr-operationeel-lucht:brandstof_s,
riepr-operationeel-lucht:brandstof_verbruik,skos:Concept,conceptscheme:operationeel_lucht_rapportering,Verbruik,Verbruik van de brandstof in GJ,riepr-operationeel-lucht:brandstof,,xsd:decimal,sosa:hasResult,,,,,,https://qudt.org/vocab/unit/GigaJ,true,,,,riepr-operationeel-lucht:brandstof_as,
riepr-operationeel-lucht:verbruikte_stof,skos:Concept,conceptscheme:operationeel_lucht_rapportering,Verbruikte stof,Geef de verbruikte stoffen op.,,sosa:Observation,,,,,,,,,,true,,,riepr-operationeel-lucht:brandstof,
riepr-operationeel-lucht:verbruikte_stof_naam,skos:Concept,conceptscheme:operationeel_lucht_rapportering,Naam,Naam van de verbruikte stof.,riepr-operationeel-lucht:verbruikte_stof,,xsd:string,rdfs:label,,,,,,,true,,,,,true
riepr-operationeel-lucht:verbruikte_stof_aard,skos:Concept,conceptscheme:operationeel_lucht_rapportering,Aard,Aard van het verbruik.,riepr-operationeel-lucht:verbruikte_stof,,xsd:string,,,,,,,,true,,,,riepr-operationeel-lucht:verbruikte_stof_naam,
