_id,_type,topConceptOf,prefLabel,definition,isPartOf,relevantDataType,relation,seeAlso,relevantRiepr,conditionPath,conditionValue,relevantCodeList,relevantUnit,isVerplicht,isMeervoudig,isOnzichtbaar,_ui_after,_ui_first
conceptscheme:operationeel_bepalingsmethode,skos:ConceptScheme,,Bepalingsmethode,,,,,,,,,,,,,,,
riepr-operationeel-bepalingsmethode:gemeten,skos:Concept,conceptscheme:operationeel_bepalingsmethode,Gemeten,,,,,,,,,,,,,,,
riepr-operationeel-bepalingsmethode:berekend,skos:Concept,conceptscheme:operationeel_bepalingsmethode,Berekend,,,,,,,,,,,,,,,
riepr-operationeel-bepalingsmethode:geschat,skos:Concept,conceptscheme:operationeel_bepalingsmethode,Geschat,,,,,,,,,,,,,,,
riepr-operationeel-bepalingsmethode:voorgesteld,skos:Concept,conceptscheme:operationeel_bepalingsmethode,Voorgesteld,,,,,,,,,,,,,true,,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_bepalingsmethodeclassificatie,skos:ConceptScheme,,Bepalingsmethodeclassificatie,,,,,,,,,,,,,,,
riepr-operationeel-bepalingsmethodeclassificatie:vrachten,skos:Concept,conceptscheme:operationeel_bepalingsmethodeclassificatie,Specifiek vrachten,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_pomptoestand,skos:ConceptScheme,,Pomptoestand,,,,,,,,,,,,,,,
riepr-operationeel-pomptoestand:rust,skos:Concept,conceptscheme:operationeel_pomptoestand,Rust,,,,,,,,,,,,,,,
riepr-operationeel-pomptoestand:werking,skos:Concept,conceptscheme:operationeel_pomptoestand,In werking,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_peilmethode,skos:ConceptScheme,,Peilmethode,,,,,,,,,,,,,,,
riepr-operationeel-peilmethode:peillint,skos:Concept,conceptscheme:operationeel_peilmethode,Peillint,,,,,,,,,,,,,,,
riepr-operationeel-peilmethode:automatische_sonde,skos:Concept,conceptscheme:operationeel_peilmethode,Automatische sonde,,,,,,,,,,,,,,,
riepr-operationeel-peilmethode:overige,skos:Concept,conceptscheme:operationeel_peilmethode,Andere methode,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_debiet_type,skos:ConceptScheme,,Type debiet,,,,,,,,,,,,,,,
riepr-operationeel-debiet-type:infiltratie,skos:Concept,conceptscheme:operationeel_debiet_type,Infiltratie,,,,,,,,,,,,,,,
riepr-operationeel-debiet-type:onttrekking,skos:Concept,conceptscheme:operationeel_debiet_type,Onttrekking,,,,,,,,,,,,,,,
riepr-operationeel-debiet-type:totaal_rondgepompd,skos:Concept,conceptscheme:operationeel_debiet_type,Totaal rondgepompd,,,,,,,,,,,,,,,
riepr-operationeel-debiet-type:spui,skos:Concept,conceptscheme:operationeel_debiet_type,Spui,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_toepassingwijze,skos:ConceptScheme,,Toepassingswijze,,,,,,,,,,,,,,,
riepr-operationeel-toepassingwijze:dispers,skos:Concept,conceptscheme:operationeel_toepassingwijze,Dispers gebruik,,,,,,,,,,,,,,,
riepr-operationeel-toepassingwijze:brandstof,skos:Concept,conceptscheme:operationeel_toepassingwijze,Gebruik als brandstof,,,,,,,,,,,,,,,
riepr-operationeel-toepassingwijze:overige,skos:Concept,conceptscheme:operationeel_toepassingwijze,Ander gebruik in de ingedeelde inrichting,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_bestemmingstype,skos:ConceptScheme,,Bestemmingstype,,,,,,,,,,,,,,,
riepr-operationeel-bestemmingstype:belgisch,skos:Concept,conceptscheme:operationeel_bestemmingstype,Belgische vestiging,,,,,,,,,,,,,,,
riepr-operationeel-bestemmingstype:buitenlands,skos:Concept,conceptscheme:operationeel_bestemmingstype,Buitenlandse vestiging,,,,,,,,,,,,,,,
riepr-operationeel-bestemmingstype:werf,skos:Concept,conceptscheme:operationeel_bestemmingstype,Werf,,,,,,,,,,,,,,,
riepr-operationeel-bestemmingstype:dispers,skos:Concept,conceptscheme:operationeel_bestemmingstype,Dispers gebruik,,,,,,,,,,,,,,,
riepr-operationeel-bestemmingstype:geen_onderneming,skos:Concept,conceptscheme:operationeel_bestemmingstype,Geen onderneming,,,,,,,,,,,,,,,
riepr-operationeel-bestemmingstype:particulier,skos:Concept,conceptscheme:operationeel_bestemmingstype,Particulier,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_techniekmonstername,skos:ConceptScheme,,Techniek monstername,,,,,,,,,,,,,,,
riepr-operationeel-techniekmonstername:aftap,skos:Concept,conceptscheme:operationeel_techniekmonstername,Aftap via monsterkraantje,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
conceptscheme:herkomst_water,skos:ConceptScheme,,Herkomst water,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_zelfcontrole_meetfrequentie,skos:ConceptScheme,,Meetfrequentie,,,,,,,,,,,,,,,
riepr-operationeel-meetfrequentie:test,skos:Concept,conceptscheme:operationeel_zelfcontrole_meetfrequentie,Test,,,,,,,,,,,,,,,
