_id,_type,topConceptOf,prefLabel,definition,broader,relevantClass,relevantDataType,relation,seeAlso,relevantRiepr,conditionPath,conditionValue,relevantCodeList,relevantUnit,isVerplicht,isMeervoudig,isOnzichtbaar
conceptscheme:operationeel_water,skos:ConceptScheme,,Operationele gegevens,Selecteer de controleinrichting waarop je de lozing wil rapporteren.,,,,,,,,,,,,,
riepr-operationeel-water:feature,skos:Concept,conceptscheme:operationeel_water,Controleinrichting,De controleinrichting waarop gerapporteed moet worden.,,sosa:FeatureOfInterest,,sosa:hasFeatureOfInterest,conceptscheme:operationeel_water_lozing,riepr-meetpunt-type:controleinrichting,,,,,true,true,
,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_water_lozing,skos:ConceptScheme,,,,,,,,,,,,,,,,
riepr-operationeel-water:lozing,skos:Concept,conceptscheme:operationeel_water_lozing,Lozing,,,sosa:Observation,,,,,,,,,true,true,
riepr-operationeel-water:lozing-debiet,skos:Concept,conceptscheme:operationeel_water_lozing,Debiet per jaar,,riepr-operationeel-water:lozing,,xsd:decimal,sosa:hasResult,,,,,,http://qudt.org/vocab/unit/M3-PER-YR,true,,
riepr-operationeel-water:lozing-dagen,skos:Concept,conceptscheme:operationeel_water_lozing,Aantal dagen per jaar,,riepr-operationeel-water:lozing,,xsd:integer,sosa:hasResult,,,,,,http://TODO,true,,
riepr-operationeel-water:lozing-stof,skos:Concept,conceptscheme:operationeel_water_lozing,Verontreinigende stof,,riepr-operationeel-water:lozing,sosa:Observation,,sosa:observedProperty,,https://data.omgeving.vlaanderen.be/id/conceptscheme/csor/variabele,,,,,true,,
riepr-operationeel-water:lozing-meetfrequentie,skos:Concept,conceptscheme:operationeel_water_lozing,Meetfrequentie,,riepr-operationeel-water:lozing,,xsd:decimal,TODO,,,,,http://TODO,,,,
riepr-operationeel-water:lozing-concentratie,skos:Concept,conceptscheme:operationeel_water_lozing,Gemiddelde concentratie,,riepr-operationeel-water:lozing,,xsd:decimal,sosa:hasResult,,,,,,http://TODO,,,
riepr-operationeel-water:lozing-jaarvracht,skos:Concept,conceptscheme:operationeel_water_lozing,Totale jaarvracht,,riepr-operationeel-water:lozing,,xsd:decimal,sosa:hasResult,,,,,,http://TODO,,,
riepr-operationeel-water:lozing-bepalingsmethode,skos:Concept,conceptscheme:operationeel_water_lozing,Bepalingsmethode,,riepr-operationeel-water:lozing,,,sosa:usedProcedure,,,,,conceptscheme:operationeel_bepalingsmethode,,,,
riepr-operationeel-water:lozing-bepalingsmethodeclassificatie,skos:Concept,conceptscheme:operationeel_water_lozing,Bepalingsmethodeclassificatie,,riepr-operationeel-water:lozing,,,sosa:usedProcedure,,,,,conceptscheme:operationeel_bepalingsmethodeclassificatie,,,,
,,,,,,,,,,,,,,,,,
riepr-operationeel-water:abnormale-lozing,skos:Concept,conceptscheme:operationeel_water_lozing,Abnormale lozing,,,sosa:Observation,,,,,,,,,false,true,
riepr-operationeel-water:abnormale-lozing-stof,skos:Concept,conceptscheme:operationeel_water_lozing,Verontreinigende stof,,riepr-operationeel-water:abnormale-lozing,,,sosa:observedProperty,,https://data.omgeving.vlaanderen.be/id/conceptscheme/csor/variabele,,,,,true,,
riepr-operationeel-water:abnormale-lozing-lozingsduur,skos:Concept,conceptscheme:operationeel_water_lozing,Lozingsduur,,riepr-operationeel-water:abnormale-lozing,,xsd:integer,sosa:hasResult,,,,,,http://qudt.org/vocab/unit/DAY,true,,
riepr-operationeel-water:abnormale-lozing-jaarvracht,skos:Concept,conceptscheme:operationeel_water_lozing,Jaarvracht,,riepr-operationeel-water:abnormale-lozing,,xsd:decimal,sosa:hasResult,,,,,,http://TODO,,,
riepr-operationeel-water:abnormale-lozing-verklaring,skos:Concept,conceptscheme:operationeel_water_lozing,Verklaring,,riepr-operationeel-water:abnormale-lozing,,xsd:string,sosa:hasSimpleResult,,,,,,,,,
,,,,,,,,,,,,,,,,,
