_id,_type,topConceptOf,prefLabel,definition,isPartOf,relevantClass,relevantDataType,relation,seeAlso,relevantRiepr,conditionPath,conditionValue,relevantCodeList,relevantUnit,isVerplicht,isMeervoudig,isOnzichtbaar,_ui_after,_ui_first
conceptscheme:operationeel_zelfcontrole_water,skos:ConceptScheme,,Operationele gegevens,,,,,,,,,,,,,,,,
riepr-operationeel-zelfcontrole-water:feature,skos:Concept,conceptscheme:operationeel_zelfcontrole_water,Controleinrichting,De controleinrichting waarop gerapporteed moet worden.,,sosa:FeatureOfInterest,,sosa:hasFeatureOfInterest,conceptscheme:operationeel_zelfcontrole_water_meting,riepr-meetpunt-type:controleinrichting,,,,,true,true,,,true
,,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_zelfcontrole_water_meting,skos:ConceptScheme,,,,,,,,,,,,,,,,,,
riepr-operationeel-zelfcontrole-water:meting,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Meting,,,sosa:Observation,,,,,,,,,,true,,,true
riepr-operationeel-zelfcontrole-water:datum,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Datum van meting,Datum van de meting of startdatum indien de meting over meerdere dagen heeft plaatsgevonden.,riepr-operationeel-zelfcontrole-water:meting,,xsd:date,sosa:resultTime,,,,,,true,,,,,true
riepr-operationeel-zelfcontrole-water:labo,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Labo,,,,,sosa:madeBySensor,,,,,,,,,,riepr-operationeel-zelfcontrole-water:meting,
riepr-operationeel-zelfcontrole-water:labo-naam,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Naam,De naam van het labo.,riepr-operationeel-zelfcontrole-water:labo,,xsd:string,,,,,,,,true,,,,true
riepr-operationeel-zelfcontrole-water:labo-id,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,KBO nummer of BTW nummer,,riepr-operationeel-zelfcontrole-water:labo,,xsd:string,,,,,,,,,,,riepr-operationeel-zelfcontrole-water:labo-naam,
riepr-operationeel-zelfcontrole-water:parameter,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Parameter,,,sosa:Observation,,,,,,,,,,true,,riepr-operationeel-zelfcontrole-water:labo,
riepr-operationeel-zelfcontrole-water:parameter-soort,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Soort monster,,riepr-operationeel-zelfcontrole-water:parameter,,,,,,,,,,,,,,true
riepr-operationeel-zelfcontrole-water:parameter-parameter,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Parameter,,riepr-operationeel-zelfcontrole-water:parameter,,,sosa:observedProperty,,,http://TODO,,true,,,,,riepr-operationeel-zelfcontrole-water:parameter-soort,
riepr-operationeel-zelfcontrole-water:parameter-concentratie,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Concentratie,,riepr-operationeel-zelfcontrole-water:parameter,,xsd:decimal,sosa:hasResult,,,,,,,,,,riepr-operationeel-zelfcontrole-water:parameter-parameter,
riepr-operationeel-zelfcontrole-water:parameter-meetonzekerheid,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Meetonzekerheid,,riepr-operationeel-zelfcontrole-water:parameter,,xsd:decimal,,,,,,,unit:PERCENT,,,,riepr-operationeel-zelfcontrole-water:parameter-concentratie,
riepr-operationeel-zelfcontrole-water:parameter-meetfrequentie,skos:Concept,conceptscheme:operationeel_zelfcontrole_water_meting,Meetfrequentie,,riepr-operationeel-zelfcontrole-water:parameter,,,,,,,,conceptscheme:operationeel_zelfcontrole_meetfrequentie,,,,,riepr-operationeel-zelfcontrole-water:parameter-meetonzekerheid,
